id;reference;demande_id;source_year;date_intervention;type_intervention;zone;technicien;finalite;notes;statut;created_at;updated_at
202;2025-RA-INT0202;121;2025;2025-01-08;Coupe de sondage carotté;SC4;;;Groupe auto lignes brutes: 2025-SP-I0613;Préparée;2026-04-06 12:54:54;2026-04-06 12:54:54
308;2025-RA-INT0308;82;2025;2025-01-08;Campagne prélèvements labo;SEG;;Prélèvement labo;Groupe auto prélèvements: 2025-RA-PRL0096;Préparée;2026-04-06 12:54:54;2026-04-06 12:54:54
316;2025-RA-INT0316;161;2025;2025-01-08;Campagne prélèvements labo;SEG;;Prélèvement labo;Groupe auto prélèvements: 2025-RA-PRL0142;Préparée;2026-04-06 12:54:54;2026-04-06 12:54:54
269;2025-RA-INT0269;212;2025;2025-01-13;Portances dynaplaque;CdR / 0/31,5;F. Montet;;Groupe auto lignes brutes: 2025-SP-I0769;Préparée;2026-04-06 12:54:54;2026-04-06 12:54:54
287;2025-RA-INT0287;220;2025;2025-01-13;Portances dynaplaque;CDF Tranchée dépôt Keolis UTS / Grave sableuse;F. Montet;;Groupe auto lignes brutes: 2025-SP-I0794, 2025-SP-I0795;Préparée;2026-04-06 12:54:54;2026-04-06 12:54:54
198;2025-RA-INT0198;88;2025;2025-01-14;Portances dynaplaque;Plate-forme tram / GDNT 0/31,5;F. Montet;;Groupe auto lignes brutes: 2025-SP-I0594;Préparée;2026-04-06 12:54:54;2026-04-06 12:54:54
203;2025-RA-INT0203;124;2025;2025-01-16;Coupes de sondages;S01;;;Groupe auto lignes brutes: 2025-SP-I0614;Préparée;2026-04-06 12:54:54;2026-04-06 12:54:54
36;2025-RA-INT0036;88;2025;2025-01-23;Coupe de sondage carotté;SC6;;;Groupe auto lignes brutes: 2025-SP-I0233, 2025-SP-I0234, 2025-SP-I0235;Préparée;2026-04-06 12:54:54;2026-04-06 12:54:54
197;2025-RA-INT0197;88;2025;2025-01-23;Portances dynaplaque;Voirie - Bd 11 novembre / CdF en place;Sylvain LHOPITAL;;Groupe auto lignes brutes: 2025-SP-I0591, 2025-SP-I0592, 2025-SP-I0593;Préparée;2026-04-06 12:54:54;2026-04-06 12:54:54
306;2025-RA-INT0306;45;2025;2025-01-23;Campagne prélèvements labo;Boulevard du 11 novembre;;Prélèvement labo;Groupe auto prélèvements: 2025-RA-PRL0072, 2025-RA-PRL0073, 2025-RA-PRL0074, 2025-RA-PRL0075;Préparée;2026-04-06 12:54:54;2026-04-06 12:54:54
314;2025-RA-INT0314;98;2025;2025-01-23;Campagne prélèvements labo;Boulevard du 11 novembre;;Prélèvement labo;Groupe auto prélèvements: 2025-RA-PRL0126, 2025-RA-PRL0127, 2025-RA-PRL0128, 2025-RA-PRL0129;Préparée;2026-04-06 12:54:54;2026-04-06 12:54:54
