id;reference;demande_id;intervention_reelle_id;source_year;date_prelevement;zone;materiau;technicien;finalite;notes;statut;created_at;updated_at
96;2025-RA-PRL0096;82;308;2025;2025-01-08;SEG;GB 0/14 Classe 4;;Prélèvement labo;Prélevement auto depuis échantillon 2025-SP-E0096;Préparé;2026-04-06 12:54:54;2026-04-06 12:54:54
142;2025-RA-PRL0142;161;316;2025;2025-01-08;SEG;GB 0/14 Classe 4;;Prélèvement labo;Prélevement auto depuis échantillon 2025-SP-E0142;Préparé;2026-04-06 12:54:54;2026-04-06 12:54:54
72;2025-RA-PRL0072;45;306;2025;2025-01-23;Boulevard du 11 novembre;GB 0/14 Classe 3;;Prélèvement labo;Prélevement auto depuis échantillon 2025-SP-E0072;Préparé;2026-04-06 12:54:54;2026-04-06 12:54:54
73;2025-RA-PRL0073;45;306;2025;2025-01-23;Boulevard du 11 novembre;GB 0/14 Classe 3;;Prélèvement labo;Prélevement auto depuis échantillon 2025-SP-E0073;Préparé;2026-04-06 12:54:54;2026-04-06 12:54:54
74;2025-RA-PRL0074;45;306;2025;2025-01-23;Boulevard du 11 novembre;GB 0/14 Classe 3;;Prélèvement labo;Prélevement auto depuis échantillon 2025-SP-E0074;Préparé;2026-04-06 12:54:54;2026-04-06 12:54:54
75;2025-RA-PRL0075;45;306;2025;2025-01-23;Boulevard du 11 novembre;GB 0/14 Classe 3;;Prélèvement labo;Prélevement auto depuis échantillon 2025-SP-E0075;Préparé;2026-04-06 12:54:54;2026-04-06 12:54:54
126;2025-RA-PRL0126;98;314;2025;2025-01-23;Boulevard du 11 novembre;GB 0/14 Classe 3;;Prélèvement labo;Prélevement auto depuis échantillon 2025-SP-E0126;Préparé;2026-04-06 12:54:54;2026-04-06 12:54:54
127;2025-RA-PRL0127;98;314;2025;2025-01-23;Boulevard du 11 novembre;GB 0/14 Classe 3;;Prélèvement labo;Prélevement auto depuis échantillon 2025-SP-E0127;Préparé;2026-04-06 12:54:54;2026-04-06 12:54:54
128;2025-RA-PRL0128;98;314;2025;2025-01-23;Boulevard du 11 novembre;GB 0/14 Classe 3;;Prélèvement labo;Prélevement auto depuis échantillon 2025-SP-E0128;Préparé;2026-04-06 12:54:54;2026-04-06 12:54:54
129;2025-RA-PRL0129;98;314;2025;2025-01-23;Boulevard du 11 novembre;GB 0/14 Classe 3;;Prélèvement labo;Prélevement auto depuis échantillon 2025-SP-E0129;Préparé;2026-04-06 12:54:54;2026-04-06 12:54:54
289;2025-RA-PRL0289;45;400;2025;2025-02-03;Av. Leclerc entre Genas et Kruger;GB 0/14 Classe 3;Sylvain LHOPITAL;Fondation;Prélevement auto depuis ligne brute 2025-SP-I0137;Préparé;2026-04-06 12:54:54;2026-04-06 12:54:54
480;2025-RA-PRL0480;98;515;2025;2025-02-03;Av. Leclerc entre Genas et Kruger;GB 0/14 Classe 3;Sylvain LHOPITAL;Fondation;Prélevement auto depuis ligne brute 2025-SP-I0383;Préparé;2026-04-06 12:54:54;2026-04-06 12:54:54
181;2025-RA-PRL0181;38;341;2025;2025-02-14;Giratoire Tuilerie - anneau interieur;GB 0/14 Classe 3;Sylvain LHOPITAL;Fondation;Prélevement auto depuis ligne brute 2025-SP-I0040;Préparé;2026-04-06 12:54:54;2026-04-06 12:54:54
372;2025-RA-PRL0372;85;456;2025;2025-02-14;Giratoire Tuilerie - anneau interieur;GB 0/14 Classe 3;Sylvain LHOPITAL;Fondation;Prélevement auto depuis ligne brute 2025-SP-I0286;Préparé;2026-04-06 12:54:54;2026-04-06 12:54:54
